account_id,account_name,total_transactions,total_sent_transactions,total_received_transactions,total_amount_sent,total_amount_received,average_transaction_amount,average_daily_amount,maximum_transaction_amount,minimum_transaction_amount,night_transactions,frequent_receiver,frequent_receiver_count,fraud_transactions
A0001,Rahul Sharma,182,90,92,437114,666545,4856.82,5604.03,105158,192,30,A0335,3,3
A0002,Charan Nair,178,88,90,436980,521278,4965.68,5602.31,123537,248,43,A0275,2,2
A0003,BBMP,187,101,86,544134,1637722,5387.47,5979.49,168192,64,38,A0007,3,2
A0004,Amit Verma,148,73,75,5775524,4116002,79116.77,84934.18,389436,282,24,A0466,2,38
A0005,Meera Shetty,199,109,90,964423,1230192,8847.92,9942.51,443126,196,35,A0110,3,3
A0006,Meera Singh,176,95,81,2061569,1500384,21700.73,26773.62,469218,156,31,A0114,2,8
A0007,BWSSB,219,77,142,336159,2100351,4365.7,4734.63,72163,70,24,A0472,2,2
A0008,Kiran Rao,189,126,63,1418613,712874,11258.83,13510.6,393302,95,41,A0309,3,7
A0009,Rohan Patel,216,123,93,1131905,863661,9202.48,10678.35,242877,63,36,A0170,4,4
A0010,Priya Gupta,168,99,69,678949,692333,6858.07,7460.98,341644,77,33,A0239,2,2
A0011,Kavya Verma,181,114,67,7109512,3835518,62364.14,72546.04,434963,172,36,A0227,3,51
A0012,CityWater,246,87,159,1047419,3494120,12039.3,14348.21,393606,81,22,A0084,3,4
A0013,Deepa Kulkarni,163,82,81,1024591,1041032,12495.01,13306.38,393583,60,33,A0456,2,3
A0014,Sneha Verma,186,101,85,432469,1439172,4281.87,4914.42,101845,85,35,A0341,3,2
A0015,BBMP,176,104,72,921972,636250,8865.12,10244.13,171489,66,26,A0291,2,5
A0016,Amit Gupta,163,83,80,1455627,1437792,17537.67,18425.66,477022,114,19,A0053,2,5
A0017,Manoj Gupta,186,93,93,1563264,932742,16809.29,18834.51,459282,186,41,A0198,2,6
A0018,Vikram Gupta,168,103,65,1287062,769077,12495.75,13548.02,319784,140,31,A0403,3,5
A0019,PowerGrid,241,88,153,1488147,847570,16910.76,18148.13,434273,97,19,A0122,2,6
A0020,HelpIndia,182,100,82,560825,271567,5608.25,6231.39,317689,63,30,A0144,3,1
A0021,TechWorld52,302,111,191,1227947,2833519,11062.59,12791.11,253582,107,36,A0350,2,7
A0022,KarnatakaGas,223,90,133,1311497,1646857,14572.19,16393.71,454124,56,36,A0313,2,4
A0023,BESCOM,268,117,151,987209,2663565,8437.68,9872.09,170775,158,46,A0239,2,5
A0024,BWSSB,246,92,154,5963326,8091052,64818.76,69341.0,198545,139,25,A0309,3,45
A0025,Priya Nair,173,110,63,1044533,394558,9495.75,11231.54,430963,63,37,A0104,2,5
A0026,Anjali Patel,186,111,75,2230426,843328,20093.93,23983.08,450153,96,35,A0216,2,8
A0027,Vikram Verma,186,107,79,1188953,1412381,11111.71,12923.4,354041,86,34,A0236,4,5
A0028,FreshMart33,269,100,169,924907,1189160,9249.07,11418.6,212254,74,38,A0021,2,4
A0029,Kiran Singh,186,104,82,2120090,1247266,20385.48,24091.93,463039,51,26,A0200,3,8
A0030,CityPharmacy49,291,94,197,1089457,1845237,11589.97,13618.21,296013,74,32,A0463,2,5
A0031,FreshMart85,277,103,174,1862080,1175571,18078.45,20689.78,408749,131,46,A0122,2,7
