account_id,account_name,total_transactions,total_sent_transactions,total_received_transactions,total_amount_sent,total_amount_received,average_transaction_amount,average_daily_amount,maximum_transaction_amount,minimum_transaction_amount,night_transactions,frequent_receiver,frequent_receiver_count,fraud_transactions
A0001,Rahul Sharma,182,90,92,437114.0,666545.0,4856.82,5604.03,105158.0,192.0,30,A0335,3,3
A0002,Charan Nair,178,88,90,436980.0,521278.0,4965.68,5602.31,123537.0,248.0,43,A0275,2,2
A0003,BBMP,187,101,86,544134.0,1637722.0,5387.47,5979.49,168192.0,64.0,38,A0007,3,2
A0004,Amit Verma,148,73,75,5775524.0,4116002.0,79116.77,84934.18,389436.0,282.0,24,A0466,2,38
A0005,Meera Shetty,199,109,90,964423.0,1230192.0,8847.92,9942.51,443126.0,196.0,35,A0110,3,3
A0006,Meera Singh,176,95,81,2061569.0,1500384.0,21700.73,26773.62,469218.0,156.0,31,A0114,2,8
A0007,BWSSB,219,77,142,336159.0,2100351.0,4365.7,4734.63,72163.0,70.0,24,A0472,2,2
A0008,Kiran Rao,189,126,63,1418613.0,712874.0,11258.83,13510.6,393302.0,95.0,41,A0309,3,7
A0009,Rohan Patel,216,123,93,1131905.0,863661.0,9202.48,10678.35,242877.0,63.0,36,A0170,4,4
A0010,Priya Gupta,168,99,69,678949.0,692333.0,6858.07,7460.98,341644.0,77.0,33,A0239,2,2
A0011,Kavya Verma,181,114,67,7109512.0,3835518.0,62364.14,72546.04,434963.0,172.0,36,A0227,3,51
A0012,CityWater,246,87,159,1047419.0,3494120.0,12039.3,14348.21,393606.0,81.0,22,A0084,3,4
A0013,Deepa Kulkarni,163,82,81,1024591.0,1041032.0,12495.01,13306.38,393583.0,60.0,33,A0456,2,3
A0014,Sneha Verma,186,101,85,432469.0,1439172.0,4281.87,4914.42,101845.0,85.0,35,A0341,3,2
A0015,BBMP,176,104,72,921972.0,636250.0,8865.12,10244.13,171489.0,66.0,26,A0291,2,5
A0016,Amit Gupta,163,83,80,1455627.0,1437792.0,17537.67,18425.66,477022.0,114.0,19,A0053,2,5
